Season,Episode,Title,IMDB Rating,Total Votes,Air Date
1,1,Pilot,7.6,3706,24 Mar 2005
1,2,Diversity Day,8.3,3566,29 Mar 2005
1,3,Health Care,7.9,2983,5 Apr 2005
1,4,The Alliance,8.1,2886,12 Apr 2005
1,5,Basketball,8.4,3179,19 Apr 2005
1,6,Hot Girl,7.8,2852,26 Apr 2005
2,1,The Dundies,8.7,3213,20 Sep 2005
2,2,Sexual Harassment,8.2,2736,27 Sep 2005
2,3,Office Olympics,8.4,2742,4 Oct 2005
2,4,The Fire,8.4,2713,11 Oct 2005
2,5,Halloween,8.2,2561,18 Oct 2005
2,6,The Fight,8.2,2550,1 Nov 2005
2,7,The Client,8.6,2631,8 Nov 2005
2,8,Performance Review,8.2,2416,15 Nov 2005
2,9,E-Mail Surveillance,8.4,2527,22 Nov 2005
2,10,Christmas Party,8.8,2755,6 Dec 2005
2,11,Booze Cruise,8.6,2679,5 Jan 2006
2,12,The Injury,9.0,3282,12 Jan 2006
2,13,The Secret,8.3,2363,19 Jan 2006
2,14,The Carpet,7.9,2342,26 Jan 2006
2,15,Boys and Girls,8.2,2323,2 Feb 2006
2,16,Valentine's Day,8.3,2345,9 Feb 2006
2,17,Dwight's Speech,8.4,2463,2 Mar 2006
2,18,Take Your Daughter to Work Day,8.3,2415,16 Mar 2006
2,19,Michael's Birthday,8.1,2337,30 Mar 2006
2,20,Drug Testing,8.4,2397,27 Apr 2006
2,21,Conflict Resolution,8.7,2440,4 May 2006
2,22,Casino Night,9.3,3644,11 May 2006
3,1,Gay Witch Hunt,8.9,3087,21 Sep 2006
3,2,The Convention,8.2,2275,28 Sep 2006
3,3,The Coup,8.5,2388,5 Oct 2006
3,4,Grief Counseling,8.0,2311,12 Oct 2006
3,5,Initiation,8.2,2254,19 Oct 2006
3,6,Diwali,8.0,2320,2 Nov 2006
3,7,Branch Closing,8.5,2260,9 Nov 2006
3,8,The Merger,8.7,2376,16 Nov 2006
3,9,The Convict,8.2,2373,30 Nov 2006
3,10,A Benihana Christmas,8.7,2541,14 Dec 2006
3,11,Back from Vacation,8.5,2255,4 Jan 2007
3,12,Traveling Salesmen,8.6,2316,11 Jan 2007
3,13,The Return,8.8,2430,18 Jan 2007
3,14,Ben Franklin,8.2,2254,1 Feb 2007
3,15,Phyllis' Wedding,8.3,2283,8 Feb 2007
3,16,Business School,8.8,2622,15 Feb 2007
3,17,Cocktails,8.5,2264,22 Feb 2007
3,18,The Negotiation,8.9,2555,5 Apr 2007
3,19,Safety Training,8.8,2424,12 Apr 2007
3,20,Product Recall,8.7,2409,26 Apr 2007
3,21,Women's Appreciation,8.8,2403,3 May 2007
3,22,Beach Games,9.1,2783,10 May 2007
3,23,The Job,9.3,3010,17 May 2007
4,1,Fun Run,8.8,2826,27 Sep 2007
4,2,Dunder Mifflin Infinity,8.4,2248,4 Oct 2007
4,3,Launch Party,8.5,2173,11 Oct 2007
4,4,Money,8.7,2341,18 Oct 2007
4,5,Local Ad,8.8,2388,25 Oct 2007
4,6,Branch Wars,8.5,2185,1 Nov 2007
4,7,Survivor Man,8.3,2110,8 Nov 2007
4,8,The Deposition,8.7,2202,15 Nov 2007
4,9,Dinner Party,9.3,4095,10 Apr 2008
4,10,Chair Model,8.1,2095,17 Apr 2008
4,11,Night Out,8.7,2179,24 Apr 2008
4,12,Did I Stutter?,8.4,2087,1 May 2008
4,13,Job Fair,7.9,1977,8 May 2008
4,14,"Goodbye, Toby",9.3,3010,15 May 2008
5,1,Weight Loss,8.8,2501,25 Sep 2008
5,2,Business Ethics,8.3,1990,9 Oct 2008
5,3,Baby Shower,8.1,1954,16 Oct 2008
5,4,Crime Aid,8.1,1884,23 Oct 2008
5,5,Employee Transfer,8.1,1962,30 Oct 2008
5,6,Customer Survey,8.5,2018,6 Nov 2008
5,7,Business Trip,8.2,1867,13 Nov 2008
5,8,Frame Toby,8.6,2089,20 Nov 2008
5,9,The Surplus,8.7,2070,4 Dec 2008
5,10,Moroccan Christmas,8.4,1951,11 Dec 2008
5,11,The Duel,8.7,2011,15 Jan 2009
5,12,Prince Family Paper,8.1,1954,22 Jan 2009
5,13,Stress Relief,9.6,5948,1 Feb 2009
5,14,Lecture Circuit: Part 1,8.2,1838,5 Feb 2009
5,15,Lecture Circuit: Part 2,8.2,1808,12 Feb 2009
5,16,Blood Drive,8.1,1847,5 Mar 2009
5,17,Golden Ticket,8.7,1987,12 Mar 2009
5,18,New Boss,8.3,1875,19 Mar 2009
5,19,Two Weeks,8.4,1864,26 Mar 2009
5,20,Dream Team,8.3,1863,9 Apr 2009
5,21,Michael Scott Paper Company,8.7,2032,9 Apr 2009
5,22,Heavy Competition,8.7,1913,16 Apr 2009
5,23,Broke,9.1,2509,23 Apr 2009
5,24,Casual Friday,8.3,1845,30 Apr 2009
5,25,Cafe Disco,8.7,2107,7 May 2009
5,26,Company Picnic,8.9,2232,14 May 2009
6,1,Gossip,8.7,2127,17 Sep 2009
6,2,The Meeting,8.2,1755,24 Sep 2009
6,3,The Promotion,8.0,1751,1 Oct 2009
6,4,Niagara: Part 1,9.3,3579,8 Oct 2009
6,5,Niagara: Part 2,9.3,1946,8 Oct 2009
6,6,Mafia,7.7,1829,15 Oct 2009
6,7,The Lover,8.6,1917,22 Oct 2009
6,8,Koi Pond,8.2,1739,29 Oct 2009
6,9,Double Date,8.2,1709,5 Nov 2009
6,10,Murder,8.6,2016,12 Nov 2009
6,11,Shareholder Meeting,8.2,1726,19 Nov 2009
6,12,Scott's Tots,8.3,1981,3 Dec 2009
6,13,Secret Santa,8.5,1844,10 Dec 2009
6,14,The Banker,6.8,2288,21 Jan 2010
6,15,Sabre,7.8,1681,4 Feb 2010
6,16,Manager and Salesman,8.1,1670,11 Feb 2010
6,17,The Delivery: Part 1,8.4,1750,4 Mar 2010
6,18,The Delivery: Part 2,8.5,1769,4 Mar 2010
6,19,St. Patrick's Day,7.8,1642,11 Mar 2010
6,20,New Leads,7.9,1609,18 Mar 2010
