,RegionName,InventoryRaw_AllHomes
3746115,abbevilleabbevillesc,38.0
3746116,abbevillehenryal,106.0
3746121,aberdeenbrownsd,110.0
3746122,aberdeengrays_harborwa,53.0
3746123,aberdeenharfordmd,100.0
3746125,aberdeenmoorenc,77.0
3746128,abilenetaylortx,414.0
3746129,abingdonharfordmd,129.0
3746133,abingtonmontgomerypa,137.0
3746134,abingtonplymouthma,56.0
3746135,abita_springssaint_tammanyla,62.0
3746138,abseconatlanticnj,82.0
3746141,accokeekprince_georgesmd,56.0
3746142,accomacaccomackva,12.0
3746145,actonlos_angelesca,28.0
3746146,actonmiddlesexma,18.0
3746147,actonyorkme,21.0
3746148,acushnetbristolma,26.0
3746149,acworthcobbga,346.0
3746153,adairsvillebartowga,89.0
3746155,adamsadamswi,18.0
3746156,adamsmontgomerytn,8.0
3746159,adamsvillemcnairytn,68.0
3746160,adapontotocok,137.0
3746161,addisonaddisonvt,18.0
3746163,addisondu_pageil,88.0
3746165,addisonwashingtonme,17.0
3746170,adelantosan_bernardinoca,102.0
3746171,adelcookga,38.0
3746172,adeldallasia,63.0
3746174,adrian_townshiplenaweemi,100.0
3746177,advancedavienc,140.0
3746178,afftonsaint_louismo,52.0
3746179,aftondelawareok,160.0
3746181,aftonnelsonva,22.0
3746183,agawamhampdenma,80.0
3746184,agoura_hillslos_angelesca,52.0
3746187,agua_dulcelos_angelesca,18.0
3746188,aguangariversideca,19.0
3746189,ahoskiehertfordnc,54.0
3746190,ahwahneemaderaca,16.0
3746192,aikenaikensc,748.0
3746193,airway_heightsspokanewa,12.0
3746200,akronsummitoh,810.0
3746203,alabastershelbyal,100.0
3746204,alachuaalachuafl,80.0
3746207,alamocontra_costaca,27.0
3746209,alamogordooteronm,559.0
3746212,alansonemmetmi,38.0
3746215,albanyalbanyny,182.0
3746217,albanycarrollnh,10.0
3746218,albanydelawarein,22.0
3746219,albanydoughertyga,418.0
3746221,albanylinnor,230.0
3746226,albemarlestanlync,88.0
3746227,albert_leafreebornmn,52.0
3746229,albertvillemarshallal,118.0
3746233,albiondanewi,18.0
3746235,albionkennebecme,4.0
3746237,albuquerquebernalillonm,1774.0
3746238,alburghgrand_islevt,38.0
3746240,alcoablounttn,24.0
3746245,aldineharristx,10.0
3746247,aledoparkertx,20.0
3746250,alexanderbuncombenc,17.0
3746251,alexandria_townshiphunterdonnj,30.0
3746252,alexandriaalexandria_cityva,500.0
3746253,alexandriacalhounal,26.0
3746254,alexandriacampbellky,106.0
3746256,alexandriadouglasmn,58.0
3746260,alexandriamadisonin,39.0
3746261,alexandriarapidesla,246.0
3746264,algerarenacmi,38.0
3746266,algomakewauneewi,40.0
3746267,algomawinnebagowi,20.0
3746268,algonacsaint_clairmi,46.0
3746271,algonquinmchenryil,101.0
3746273,alhambralos_angelesca,33.0
3746276,aliquippabeaverpa,52.0
3746277,aliso_viejoorangeca,36.0
3746278,allamuchy_panther_valleywarrennj,34.0
3746279,alleganalleganmi,75.0
3746280,allegheny_townshipblairpa,13.0
3746282,allegheny_townshipwestmorelandpa,46.0
3746283,allen_parkwaynemi,53.0
3746284,allen_townshipnorthamptonpa,22.0
3746285,allencollintx,215.0
3746286,allendale_townshipottawami,44.0
3746287,allendalebergennj,36.0
3746293,allentownlehighpa,284.0
3746294,allentownmonmouthnj,12.0
3746295,alliancestarkoh,126.0
3746297,allonsovertontn,19.0
3746299,allynmasonwa,12.0
3746301,almagratiotmi,95.0
3746304,almondportagewi,14.0
3746305,almontlapeermi,36.0
3746309,alpenaalpenami,102.0
3746310,alpharettafultonga,338.0
3746316,alpinesan_diegoca,34.0
3746317,alpineutahut,22.0
3746319,alsipcookil,46.0
3746320,alsteadcheshirenh,13.0
3746322,altadenalos_angelesca,34.0
3746323,altamonte_springsseminolefl,160.0
3746324,altamonteffinghamil,24.0
3746329,altolincolnnm,157.0
3746331,altonbelknapnh,51.0
3746334,altonmadisonil,148.0
3746337,altoonablairpa,140.0
3746338,altoonaeau_clairewi,32.0
3746340,altoonapolkia,105.0
3746341,alturasmodocca,55.0
3746346,alvatonwarrenky,30.0
3746347,alvawoodsok,52.0
3746349,alvordwisetx,11.0
3746354,amarillopottertx,732.0
3746361,ambridgebeaverpa,32.0
3746364,ameliaclermontoh,30.0
3746366,american_fallspowerid,10.0
3746369,amerypolkwi,34.0
3746370,amesstoryia,164.0
3746371,amherstamherstva,52.0
3746372,amhersterieny,184.0
3746373,amhersthampshirema,62.0
3746374,amhersthillsboroughnh,47.0
3746375,amherstlorainoh,57.0
3746378,amissvillerappahannockva,27.0
3746381,amity_townshipberkspa,25.0
3746382,amityclarkar,37.0
3746383,amityvillesuffolkny,76.0
3746384,amityyamhillor,21.0
3746385,ammonbonnevilleid,47.0
3746391,anacortesskagitwa,96.0
3746392,anaheimorangeca,188.0
3746394,anamosajonesia,47.0
3746395,anchor_pointkenai_peninsulaak,52.0
3746396,anchorageanchorageak,1018.0
3746404,andersonandersonsc,492.0
3746406,andersonmadisonin,170.0
3746407,andersonshastaca,55.0
3746409,andover_townshipsussexnj,56.0
3746410,andoveranokamn,72.0
3746411,andoverashtabulaoh,34.0
3746412,andoverbutlerks,88.0
3746413,andovermerrimacknh,10.0
3746414,andovertollandct,30.0
3746415,andoverwindsorvt,12.0
3746416,andrewsandrewstx,90.0
3746423,angierharnettnc,34.0
3746424,angletonbrazoriatx,60.0
3746427,angolasteubenin,112.0
3746430,ankenypolkia,480.0
3746431,ann_arborwashtenawmi,248.0
3746432,anna_mariamanateefl,53.0
3746433,annacollintx,121.0
3746434,annandalefairfaxva,126.0
3746435,annandalewrightmn,29.0
3746436,annapolisanne_arundelmd,493.0
3746439,annaunionil,36.0
3746442,annistoncalhounal,145.0
3746447,ansonianew_havenct,56.0
3746450,anthemmaricopaaz,146.0
3746452,anthonydona_ananm,52.0
3746455,anthonymarionfl,19.0
3746458,antiochlakeil,142.0
3746463,antrim_townshipfranklinpa,56.0
3746465,apache_junctionpinalaz,138.0
3746467,apalachicolafranklinfl,56.0
3746468,apexwakenc,384.0
3746470,apollo_beachhillsboroughfl,158.0
3746472,apopkaorangefl,338.0
3746476,apple_valleydakotamn,90.0
3746477,apple_valleysan_bernardinoca,399.0
3746479,appletonoutagamiewi,230.0
3746480,applewoodjeffersonco,9.0
3746482,appomattoxappomattoxva,38.0
3746483,aptossanta_cruzca,46.0
3746484,arabisaint_bernardla,25.0
3746485,arabmarshallal,106.0
3746486,aragonpolkga,16.0
3746487,aransas_passsan_patriciotx,58.0
3746494,arcadiade_sotofl,108.0
3746497,arcadialos_angelesca,159.0
3746498,arcadiamanisteemi,10.0
3746504,archbaldlackawannapa,32.0
3746505,archboldfultonoh,15.0
3746511,arden_arcadesacramentoca,106.0
3746513,ardenbuncombenc,93.0
3746514,ardmorecarterok,173.0
3746515,ardmoredelawarepa,22.0
3746516,ardmoregilestn,12.0
3746517,ardmorelimestoneal,26.0
3746519,ardsleywestchesterny,24.0
3746520,arenaiowawi,16.0
3746523,argosaint_clairal,20.0
3746526,argylelafayettewi,8.0
3746527,arkadelphiaclarkar,80.0
3746533,arlington_heightscookil,266.0
3746534,arlington_heightsmonroepa,24.0
3746535,arlingtonarlingtonva,566.0
3746540,arlingtonshelbytn,58.0
3746542,arlingtonsnohomishwa,74.0
3746543,arlingtontarranttx,456.0
