,counts
0,24.0
1,8.0
2,24.0
3,7.0
4,35.0
5,14.0
6,11.0
7,15.0
8,11.0
9,22.0
10,22.0
11,11.0
12,57.0
13,11.0
14,19.0
15,29.0
16,6.0
17,19.0
18,12.0
19,22.0
20,12.0
21,18.0
22,72.0
23,32.0
24,9.0
25,7.0
26,13.0
27,19.0
28,23.0
29,27.0
30,20.0
31,6.0
32,17.0
33,13.0
34,10.0
35,14.0
36,6.0
37,16.0
38,15.0
39,7.0
40,2.0
41,15.0
42,15.0
43,19.0
44,70.0
45,49.0
46,7.0
47,53.0
48,22.0
49,21.0
50,31.0
51,19.0
52,11.0
53,18.0
54,20.0
55,12.0
56,35.0
57,17.0
58,23.0
59,17.0
60,4.0
61,2.0
62,31.0
63,30.0
64,13.0
65,27.0
66,0.0
67,39.0
68,37.0
69,5.0
70,14.0
71,13.0
72,22.0
