,family,father,mother,gender,height,kids,male,female,midparental_height
0,1,78.5,67.0,M,73.2,4,1.0,0.0,72.75
1,1,78.5,67.0,F,69.2,4,0.0,1.0,72.75
2,1,78.5,67.0,F,69.0,4,0.0,1.0,72.75
3,1,78.5,67.0,F,69.0,4,0.0,1.0,72.75
4,2,75.5,66.5,M,73.5,4,1.0,0.0,71.0
5,2,75.5,66.5,M,72.5,4,1.0,0.0,71.0
6,2,75.5,66.5,F,65.5,4,0.0,1.0,71.0
7,2,75.5,66.5,F,65.5,4,0.0,1.0,71.0
8,3,75.0,64.0,M,71.0,2,1.0,0.0,69.5
9,3,75.0,64.0,F,68.0,2,0.0,1.0,69.5
10,4,75.0,64.0,M,70.5,5,1.0,0.0,69.5
11,4,75.0,64.0,M,68.5,5,1.0,0.0,69.5
12,4,75.0,64.0,F,67.0,5,0.0,1.0,69.5
13,4,75.0,64.0,F,64.5,5,0.0,1.0,69.5
14,4,75.0,64.0,F,63.0,5,0.0,1.0,69.5
15,5,75.0,58.5,M,72.0,6,1.0,0.0,66.75
16,5,75.0,58.5,M,69.0,6,1.0,0.0,66.75
17,5,75.0,58.5,M,68.0,6,1.0,0.0,66.75
18,5,75.0,58.5,F,66.5,6,0.0,1.0,66.75
19,5,75.0,58.5,F,62.5,6,0.0,1.0,66.75
20,5,75.0,58.5,F,62.5,6,0.0,1.0,66.75
21,6,74.0,68.0,F,69.5,1,0.0,1.0,71.0
22,7,74.0,68.0,M,76.5,6,1.0,0.0,71.0
23,7,74.0,68.0,M,74.0,6,1.0,0.0,71.0
24,7,74.0,68.0,M,73.0,6,1.0,0.0,71.0
25,7,74.0,68.0,M,73.0,6,1.0,0.0,71.0
26,7,74.0,68.0,F,70.5,6,0.0,1.0,71.0
27,7,74.0,68.0,F,64.0,6,0.0,1.0,71.0
28,8,74.0,66.5,F,70.5,3,0.0,1.0,70.25
29,8,74.0,66.5,F,68.0,3,0.0,1.0,70.25
30,8,74.0,66.5,F,66.0,3,0.0,1.0,70.25
31,9,74.5,66.0,F,66.0,1,0.0,1.0,70.25
32,10,74.0,65.5,F,65.5,1,0.0,1.0,69.75
33,11,74.0,62.0,M,74.0,8,1.0,0.0,68.0
34,11,74.0,62.0,M,70.0,8,1.0,0.0,68.0
35,11,74.0,62.0,F,68.0,8,0.0,1.0,68.0
36,11,74.0,62.0,F,67.0,8,0.0,1.0,68.0
37,11,74.0,62.0,F,67.0,8,0.0,1.0,68.0
38,11,74.0,62.0,F,66.0,8,0.0,1.0,68.0
39,11,74.0,62.0,F,63.5,8,0.0,1.0,68.0
40,11,74.0,62.0,F,63.0,8,0.0,1.0,68.0
41,12,74.0,61.0,F,65.0,1,0.0,1.0,67.5
42,14,73.0,67.0,M,68.0,2,1.0,0.0,70.0
43,14,73.0,67.0,M,67.0,2,1.0,0.0,70.0
44,15,73.0,66.5,M,71.0,3,1.0,0.0,69.75
45,15,73.0,66.5,M,70.5,3,1.0,0.0,69.75
46,15,73.0,66.5,F,66.7,3,0.0,1.0,69.75
47,16,73.0,65.0,M,72.0,9,1.0,0.0,69.0
48,16,73.0,65.0,M,70.5,9,1.0,0.0,69.0
49,16,73.0,65.0,M,70.2,9,1.0,0.0,69.0
50,16,73.0,65.0,M,70.2,9,1.0,0.0,69.0
51,16,73.0,65.0,M,69.2,9,1.0,0.0,69.0
52,16,73.0,65.0,F,68.7,9,0.0,1.0,69.0
53,16,73.0,65.0,F,66.5,9,0.0,1.0,69.0
54,16,73.0,65.0,F,64.5,9,0.0,1.0,69.0
55,16,73.0,65.0,F,63.5,9,0.0,1.0,69.0
56,17,73.0,64.5,M,74.0,6,1.0,0.0,68.75
57,17,73.0,64.5,M,73.0,6,1.0,0.0,68.75
58,17,73.0,64.5,M,71.5,6,1.0,0.0,68.75
59,17,73.0,64.5,M,62.5,6,1.0,0.0,68.75
60,17,73.0,64.5,F,66.5,6,0.0,1.0,68.75
61,17,73.0,64.5,F,62.3,6,0.0,1.0,68.75
62,18,73.0,64.0,F,66.0,3,0.0,1.0,68.5
63,18,73.0,64.0,F,64.5,3,0.0,1.0,68.5
64,18,73.0,64.0,F,64.0,3,0.0,1.0,68.5
65,19,73.2,63.0,F,62.7,1,0.0,1.0,68.1
66,20,72.7,69.0,M,73.2,8,1.0,0.0,70.85
67,20,72.7,69.0,M,73.0,8,1.0,0.0,70.85
68,20,72.7,69.0,M,72.7,8,1.0,0.0,70.85
69,20,72.7,69.0,F,70.0,8,0.0,1.0,70.85
70,20,72.7,69.0,F,69.0,8,0.0,1.0,70.85
71,20,72.7,69.0,F,68.5,8,0.0,1.0,70.85
72,20,72.7,69.0,F,68.0,8,0.0,1.0,70.85
73,20,72.7,69.0,F,66.0,8,0.0,1.0,70.85
74,21,72.0,68.0,M,73.0,3,1.0,0.0,70.0
75,21,72.0,68.0,F,68.5,3,0.0,1.0,70.0
76,21,72.0,68.0,F,68.0,3,0.0,1.0,70.0
77,22,72.0,67.0,M,73.0,3,1.0,0.0,69.5
